81,Eddie Royal,CHI,WR,33,369,11.2,41,64,2,3,1,16,48.5,1
86,Malcolm Mitchell,NE,WR,32,401,12.5,28.6,56T,4,6,1,23,71.9,0
87,Albert Wilson,KC,WR,31,279,9,17.4,42,2,4,1,11,35.5,0
88,Donte Moncrief,IND,WR,30,307,10.2,34.1,39,7,3,0,22,73.3,0
89,Kamar Aiken,BAL,WR,29,328,11.3,20.5,29,1,3,0,18,62.1,0
89,Marquise Goodwin,BUF,WR,29,431,14.9,28.7,84T,3,3,2,20,69,0
89,Kendall Wright,TEN,WR,29,416,14.3,37.8,48T,3,6,2,18,62.1,0
92,Sammy Watkins,BUF,WR,28,430,15.4,53.8,62,2,4,2,20,71.4,0
93,Corey Brown,CAR,WR,27,276,10.2,17.2,27,1,1,0,16,59.3,1
94,Brandon Coleman,NO,WR,26,281,10.8,17.6,38,3,2,0,16,61.5,0
95,Bryan Walters,JAX,WR,24,231,9.6,23.1,23,2,1,0,15,62.5,0
96,Danny Amendola,NE,WR,23,243,10.6,20.2,32,4,1,0,14,60.9,1
96,Devin Funchess,CAR,WR,23,371,16.1,24.7,48,4,8,1,20,87,0
96,Russell Shepard,TB,WR,23,341,14.8,24.4,24,2,5,0,19,82.6,0
99,Deonte Thompson,CHI,WR,22,249,11.3,15.6,24,2,2,0,18,81.8,0
100,Sammie Coates,PIT,WR,21,435,20.7,31.1,72T,2,7,6,16,76.2,0
100,Justin Hardy,ATL,WR,21,203,9.7,12.7,27,4,2,0,17,81,0
100,Jordan Norwood,DEN,WR,21,232,11,16.6,36T,1,3,0,9,42.9,1
100,Paul Richardson,SEA,WR,21,288,13.7,19.2,39,1,3,0,17,81,0
104,Charles Johnson,MIN,WR,20,232,11.6,14.5,40,0,3,1,11,55,0
104,Aldrick Robinson,ATL,WR,20,323,16.1,20.2,59,2,6,1,14,70,0
104,Torrey Smith,SF,WR,20,267,13.4,22.2,53T,3,4,1,14,70,0
107,Josh Bellamy,CHI,WR,19,282,14.8,17.6,31,1,6,0,13,68.4,0
107,Charone Peake,NYJ,WR,19,186,9.8,12.4,27,0,1,0,7,36.8,0
107,Chester Rogers,IND,WR,19,273,14.4,19.5,36,0,6,0,13,68.4,1
107,Kevin White,CHI,WR,19,187,9.8,46.8,32,0,1,0,8,42.1,0
111,Ricardo Louis,CLE,WR,18,205,11.4,12.8,42,0,3,1,7,38.9,1
111,Rod Streater,SF,WR,18,191,10.6,11.9,25,2,1,0,13,72.2,0
113,Cody Core,CIN,WR,17,200,11.8,25,50,0,3,1,7,41.2,0
113,Cobi Hamilton,PIT,WR,17,234,13.8,21.3,39,2,4,0,13,76.5,0
115,Brice Butler,DAL,WR,16,219,13.7,13.7,41,3,4,1,11,68.8,0
115,Jordan Taylor,DEN,WR,16,209,13.1,13.1,35,2,4,0,10,62.5,1
117,Harry Douglas,TEN,WR,15,210,14,19.1,35,0,5,0,9,60,0
117,Vincent Jackson,TB,WR,15,173,11.5,34.6,18,0,0,0,8,53.3,0
117,Braxton Miller,HOU,WR,15,99,6.6,9.9,12T,1,0,0,6,40,0
120,Pharoh Cooper,LA,WR,14,106,7.6,10.6,23,0,1,0,4,28.6,0
120,Andre Holmes,OAK,WR,14,126,9,7.9,23,3,2,0,9,64.3,0
120,Jalin Marshall,NYJ,WR,14,162,11.6,16.2,27,2,3,0,9,64.3,1
120,Walt Powell,BUF,WR,14,142,10.1,15.8,35,0,1,0,7,50,0
120,Andre Roberts,DET,WR,14,188,13.4,11.8,44,1,3,1,9,64.3,0
120,Jaelen Strong,HOU,WR,14,131,9.4,16.4,36,0,1,0,4,28.6,0
126,Chris Harper,SF,WR,13,133,10.2,14.8,19,0,0,0,6,46.2,0
126,James Wright,CIN,WR,13,106,8.2,8.2,15,0,0,0,7,53.8,0
128,Geronimo Allison,GB,WR,12,202,16.8,20.2,39,2,3,0,11,91.7,0
129,Jaron Brown,ARI,WR,11,187,17,26.7,51T,1,3,1,6,54.5,0
129,Bennie Fowler,DEN,WR,11,145,13.2,11.2,76T,2,1,1,5,45.5,0
129,Jeff Janis,GB,WR,11,93,8.5,5.8,25,1,1,0,4,36.4,0
129,Cecil Shorts,TB,WR,11,152,13.8,16.9,22,0,2,0,8,72.7,0
129,Jarius Wright,MIN,WR,11,67,6.1,8.4,11,1,0,0,5,45.5,0
134,Justin Hunter,BUF,WR,10,189,18.9,15.8,64,4,3,1,10,100,0
134,Keith Mumphery,HOU,WR,10,69,6.9,6.3,11,0,0,0,2,20,0
136,Eric Decker,NYJ,WR,9,194,21.6,64.7,35,2,5,0,9,100,0
136,Ryan Grant,WAS,WR,9,76,8.4,4.8,17,0,0,0,6,66.7,0
136,Andre Johnson,TEN,WR,9,85,9.4,10.6,20,2,1,0,4,44.4,0
136,Tanner McEvoy,SEA,WR,9,140,15.6,10,42T,2,2,1,7,77.8,0
136,Paul Turner,PHI,WR,9,126,14,31.5,41,0,1,1,6,66.7,0
136,Marquess Wilson,CHI,WR,9,160,17.8,53.3,35,1,3,0,8,88.9,0
142,Brittan Golden,ARI,WR,8,82,10.3,6.8,22,1,1,0,4,50,1
142,Maurice Harris,WAS,WR,8,66,8.3,6.6,15,0,0,0,4,50,0
142,Cody Latimer,DEN,WR,8,76,9.5,6.3,16,0,0,0,6,75,0
142,Freddie Martino,TB,WR,8,142,17.8,10.9,43T,1,2,1,5,62.5,0
142,Brandon Tate,BUF,WR,8,117,14.6,7.8,34,0,2,0,6,75,0
147,Aaron Burbridge,SF,WR,7,88,12.6,5.5,24,0,1,0,5,71.4,0
147,Tommylee Lewis,NO,WR,7,76,10.9,6.3,26,0,1,0,4,57.1,0
147,Roger Lewis,NYG,WR,7,97,13.9,7.5,30T,2,2,0,4,57.1,0
147,Dexter McCluster,SD,WR,7,36,5.1,6,10,0,0,0,2,28.6,0
